ESTILO;UNIDADES;DEPARTAMENTO
115957;23;643
115959;18;643
115960;21;643
115961;19;643
115962;7;643
115964;15;643
115967;10;643
115969;6;643
115971;9;643
115973;39;643
115975;38;643
115978;8;643
115980;5;643
115982;12;643
115984;54;643
115986;71;643
115988;11;643
115990;29;643
115991;1;665
115992;5;643
115994;11;643
115998;79;643
116000;24;643
116002;35;643
116004;42;643
116006;45;643
116009;59;643
116019;1;643
116022;14;643
116025;35;643
116028;1;643
116031;11;643
116034;62;643
116037;30;643
116040;9;643
116043;23;643
116046;2;665
116050;11;643
116053;85;643
116056;22;643
116059;25;643
116065;9;643
116068;31;643
116070;5;643
116074;1;643
116079;12;643
116082;10;643
116084;3;665
116086;9;643
116089;18;643
116095;8;643
116098;9;643
116101;60;643
116104;78;643
116107;53;643
116110;57;643
116113;79;643
116116;12;643
116119;12;643
116122;23;643
116125;12;643
116128;87;643
116134;44;643
116285;72;662
116313;2;670
116314;6;670
116318;4;670
116325;4;670
116329;1;670
116331;4;670
116332;2;670
116334;4;670
116335;4;670
116336;3;670
116337;1;670
116339;1;670
116343;6;670
116344;3;670
116347;60;662
116355;59;640
116356;11;640
116357;18;640
116358;24;640
116359;24;640
116360;10;640
116361;9;640
116362;21;640
116363;22;640
116364;23;640
116365;24;640
116366;2;640
116367;22;640
116368;61;640
116369;64;640
116371;7;640
116372;21;640
116373;13;640
116374;2;640
116375;2;640
116376;12;640
116377;12;640
116378;42;640
116379;42;640
116380;23;640
116381;21;640
116382;4;640
116383;43;640
116384;18;640
116385;19;640
116386;7;640
116387;22;640
116388;46;640
116389;46;640
116390;47;640
116391;48;640
116392;47;640
116393;24;640
116394;70;640
116395;21;640
116396;24;640
116397;24;640
116398;22;640
116399;12;640
116400;71;640
116402;23;640
116403;18;640
116404;45;640
116405;7;640
116406;12;640
116407;9;640
116408;11;640
116409;23;640
116410;61;640
116411;80;640
116412;21;640
116413;23;640
116414;20;640
116415;22;640
116416;24;640
116417;23;640
116418;19;640
116419;10;640
116420;9;640
116421;24;640
116422;23;640
116423;12;640
116424;24;640
116427;16;640
116428;27;640
116429;19;640
116430;145;640
116431;68;640
116432;22;640
116433;10;640
116434;46;640
116435;18;640
116436;21;640
116438;24;640
116439;24;640
116440;12;640
116441;17;640
116442;21;640
116443;24;640
116444;24;640
116445;12;640
116446;31;640
116448;14;640
116449;22;640
116450;21;640
116451;34;640
116452;22;640
116453;22;640
116454;24;640
116455;20;640
116456;23;640
116457;23;640
116458;12;640
116459;23;640
116460;68;640
116461;46;640
116462;76;640
116463;34;640
116464;66;640
116465;23;640
116466;36;640
116467;19;640
116468;87;640
116469;57;640
116470;47;640
116471;35;640
116472;47;640
116473;24;640
116474;20;640
116475;44;640
116476;43;640
116477;24;640
116478;19;640
116479;24;640
116480;24;640
116481;11;640
116482;10;640
